"","V1","V2","V3"
"1",0.227936507936508,0.130793650793651,0.641269841269841
"2",0.225225225225225,0.466011466011466,0.308763308763309
"3",0.125490196078431,0.123809523809524,0.750700280112045
"4",0.261521972132905,0.0685959271168275,0.669882100750268
"5",0.196908602150538,0.608198924731183,0.19489247311828
"6",0.278985507246377,0.490942028985507,0.230072463768116
"7",0.317236753856472,0.492287055667337,0.19047619047619
"8",0.56682769726248,0.211755233494364,0.221417069243156
"9",0.532979976442874,0.0842167255594817,0.382803297997644
"10",0.15230352303523,0.66449864498645,0.18319783197832
"11",0.135973597359736,0.0884488448844885,0.775577557755776
"12",0.616064257028112,0.151004016064257,0.232931726907631
"13",0.558224163027656,0.219796215429403,0.22197962154294
"14",0.214460784313726,0.639093137254902,0.146446078431373
"15",0.257513661202186,0.0874316939890711,0.655054644808743
"16",0.708333333333333,0.118169398907104,0.173497267759563
"17",0.125333333333333,0.689333333333333,0.185333333333333
"18",0.690476190476191,0.136904761904762,0.172619047619048
"19",0.219715956558062,0.159565580618212,0.620718462823726
"20",0.576648841354724,0.116755793226381,0.306595365418895
