"","Amaretto Sour.txt","Aperol Spritz.txt","Boulevardier.txt","Classic Old Fashioned.txt","Cosmopolitan.txt","Daiquiri.txt","French75.txt","GinandTonic.txt","GinFizz.txt","Mai Tai.txt","Manhattan.txt","Margarita.txt","Mojito.txt","MoscowMule.txt","NewYorkSour.txt","Paloma.txt","Pinacolada.txt","TomCollins.txt","Whiskey sour.txt","Whisky Smash.txt"
"drink",7.66314111642096,7.92258365322913,5.12172158163655,6.75128976542033,9.0088335035215,8.57023439388012,7.15567423290581,2.03356831476162,3.5440810408782,3.35270008038569,5.4053001021129,1.99100870034283,5.47066216466762,5.36675567467935,3.96129182661456,7.68251161432412,3.83157055821048,2.07235433979678,4.20201919111431,0
"drinkcousin",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drinkingredi",1.91578527910524,0,0,1.68782244135508,0,0,0,0,0,1.67635004019285,1.8017667007043,0,0,0,0,0,0,0,0,0
"easi",1.91578527910524,1.98064591330728,5.12172158163655,0,3.6035334014086,8.57023439388012,1.78891855822645,0,0,3.35270008038569,5.4053001021129,1.99100870034283,1.82355405488921,1.78891855822645,3.96129182661456,3.84125580716206,1.91578527910524,2.07235433979678,6.30302878667147,0
"egg",17.2420675119472,0,0,0,0,0,0,0,24.8085672861474,0,0,0,0,0,5.94193773992185,0,0,0,4.20201919111431,0
"element",3.83157055821048,0,0,0,0,2.14255859847003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"entir",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"especi",1.91578527910524,0,0,0,0,0,0,0,0,1.67635004019285,1.8017667007043,0,0,1.78891855822645,0,0,0,0,0,0
"everyon",1.91578527910524,0,0,1.68782244135508,1.8017667007043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"except",1.91578527910524,0,0,0,0,0,0,0,0,1.67635004019285,0,0,0,0,0,0,0,0,0,0
"famili",3.83157055821048,0,0,0,0,2.14255859847003,0,0,1.7720405204391,0,0,0,0,1.78891855822645,1.98064591330728,0,0,0,14.7070671689001,0
"fanci",1.91578527910524,0,1.70724052721218,1.68782244135508,0,0,0,0,0,1.67635004019285,0,0,0,1.78891855822645,0,1.92062790358103,0,0,0,0
"featur",1.91578527910524,0,0,0,3.6035334014086,4.28511719694006,0,0,0,1.67635004019285,0,1.99100870034283,0,0,1.98064591330728,1.92062790358103,0,0,0,0
"first",3.83157055821048,0,0,6.75128976542033,0,2.14255859847003,0,0,5.3161215613173,0,0,0,0,0,3.96129182661456,0,1.91578527910524,2.07235433979678,2.10100959555716,0
"fizz",1.91578527910524,0,0,0,1.8017667007043,0,0,0,33.6687698883429,0,0,0,0,0,1.98064591330728,0,0,2.07235433979678,0,0
"flavor",13.4104969537367,5.94193773992185,11.9506836904853,6.75128976542033,3.6035334014086,8.57023439388012,0,6.10070494428487,1.7720405204391,13.4108003215428,9.0088335035215,7.96403480137131,3.64710810977842,8.94459279113226,7.92258365322913,3.84125580716206,11.4947116746314,6.21706301939034,4.20201919111431,6.673870654573
"flavorhow",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foam",13.4104969537367,0,0,0,0,0,0,0,15.9483646839519,0,0,0,0,0,5.94193773992185,0,0,0,2.10100959555716,0
"forev",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"form",3.83157055821048,1.98064591330728,0,0,0,0,0,0,1.7720405204391,1.67635004019285,0,0,0,0,0,0,0,0,0,0
"french",1.91578527910524,0,1.70724052721218,0,1.8017667007043,0,39.3562082809819,0,0,1.67635004019285,0,0,0,0,0,0,0,0,0,0
"frothi",9.57892639552621,0,0,0,0,0,0,0,10.6322431226346,0,0,0,0,0,3.96129182661456,0,0,0,2.10100959555716,0
"garnish",5.74735583731572,3.96129182661456,1.70724052721218,10.1269346481305,1.8017667007043,2.14255859847003,8.94459279113226,10.1678415738081,0,10.0581002411571,9.0088335035215,0,0,3.5778371164529,0,1.92062790358103,3.83157055821048,4.14470867959356,4.20201919111431,0
"get",1.91578527910524,0,0,1.68782244135508,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14470867959356,2.10100959555716,0
"gin",3.83157055821048,1.98064591330728,5.12172158163655,0,1.8017667007043,4.28511719694006,25.0448598151703,48.805639554279,74.4257018584422,0,0,0,1.82355405488921,3.5778371164529,7.92258365322913,1.92062790358103,0,18.651189058171,0,0
"girl",1.91578527910524,0,1.70724052721218,0,1.8017667007043,0,1.78891855822645,2.03356831476162,0,0,1.8017667007043,0,1.82355405488921,1.78891855822645,1.98064591330728,0,0,0,0,0
"glass",5.74735583731572,3.96129182661456,37.559291598668,8.43911220677541,1.8017667007043,6.42767579541009,7.15567423290581,12.2014098885697,7.0881620817564,5.02905012057854,16.2159003063387,25.8831131044568,1.82355405488921,7.15567423290581,5.94193773992185,21.1269069393913,0,10.3617716989839,0,17.7969884121947
"godfath",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"got",1.91578527910524,0,3.41448105442437,1.68782244135508,3.6035334014086,2.14255859847003,5.36675567467935,0,0,3.35270008038569,1.8017667007043,0,0,5.36675567467935,1.98064591330728,1.92062790358103,5.74735583731572,2.07235433979678,2.10100959555716,0
"great",1.91578527910524,3.96129182661456,3.41448105442437,3.37564488271017,5.4053001021129,0,5.36675567467935,0,0,3.35270008038569,0,0,3.64710810977842,8.94459279113226,0,0,3.83157055821048,2.07235433979678,2.10100959555716,0
"guy",1.91578527910524,0,1.70724052721218,1.68782244135508,0,0,0,2.03356831476162,0,0,1.8017667007043,0,0,1.78891855822645,1.98064591330728,0,0,0,0,0
"happi",1.91578527910524,0,1.70724052721218,1.68782244135508,3.6035334014086,0,0,2.03356831476162,0,1.67635004019285,1.8017667007043,0,1.82355405488921,1.78891855822645,1.98064591330728,1.92062790358103,0,4.14470867959356,0,0
"here",3.83157055821048,1.98064591330728,5.12172158163655,3.37564488271017,1.8017667007043,8.57023439388012,3.5778371164529,4.06713662952325,3.5440810408782,8.38175020096423,0,7.96403480137131,10.9413243293352,7.15567423290581,9.90322956653641,5.76188371074309,7.66314111642096,12.4341260387807,6.30302878667147,6.673870654573
"hint",3.83157055821048,1.98064591330728,0,1.68782244135508,0,0,0,0,0,1.67635004019285,3.6035334014086,0,0,0,0,0,0,0,0,0
"homemad",3.83157055821048,0,0,0,0,0,0,0,0,0,0,1.99100870034283,0,0,0,3.84125580716206,0,0,2.10100959555716,0
"hour",3.83157055821048,0,3.41448105442437,5.06346732406525,3.6035334014086,0,0,4.06713662952325,0,3.35270008038569,3.6035334014086,3.98201740068566,1.82355405488921,3.5778371164529,3.96129182661456,3.84125580716206,0,6.21706301939034,0,0
"ice",13.4104969537367,11.8838754798437,13.6579242176975,25.3173366203262,1.8017667007043,6.42767579541009,8.94459279113226,4.06713662952325,17.720405204391,3.35270008038569,3.6035334014086,19.9100870034283,18.2355405488921,3.5778371164529,0,19.2062790358103,7.66314111642096,31.0853150969517,6.30302878667147,20.021611963719
"impress",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,1.67635004019285,0,0,0,1.78891855822645,0,0,0,2.07235433979678,0,0
"ingredi",7.66314111642096,5.94193773992185,3.41448105442437,3.37564488271017,1.8017667007043,2.14255859847003,3.5778371164529,4.06713662952325,7.0881620817564,10.0581002411571,16.2159003063387,3.98201740068566,0,1.78891855822645,0,3.84125580716206,19.1578527910524,0,6.30302878667147,0
"instead",1.91578527910524,1.98064591330728,3.41448105442437,5.06346732406525,3.6035334014086,2.14255859847003,0,0,3.5440810408782,0,0,0,0,1.78891855822645,1.98064591330728,1.92062790358103,0,0,0,4.44924710304867
"involv",1.91578527910524,1.98064591330728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"itali",1.91578527910524,3.96129182661456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"italian",7.66314111642096,5.94193773992185,1.70724052721218,0,0,0,0,0,0,0,0,0,0,0,0,1.92062790358103,0,0,0,0
"juic",7.66314111642096,0,0,0,39.6388674154946,8.57023439388012,12.5224299075852,10.1678415738081,1.7720405204391,13.4108003215428,0,3.98201740068566,7.29421621955683,7.15567423290581,7.92258365322913,21.1269069393913,13.4104969537367,4.14470867959356,8.40403838222863,6.673870654573
"jump",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"keep",1.91578527910524,3.96129182661456,0,0,3.6035334014086,0,0,4.06713662952325,1.7720405204391,0,0,0,1.82355405488921,3.5778371164529,0,1.92062790358103,0,0,0,0
"know",1.91578527910524,1.98064591330728,1.70724052721218,0,0,0,0,0,3.5440810408782,0,1.8017667007043,3.98201740068566,1.82355405488921,0,1.98064591330728,0,3.83157055821048,2.07235433979678,0,2.22462355152433
"late",1.91578527910524,0,1.70724052721218,1.68782244135508,0,0,0,2.03356831476162,0,0,1.8017667007043,0,0,1.78891855822645,1.98064591330728,0,0,0,0,0
"layerwhat",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lemon",9.57892639552621,0,0,3.37564488271017,5.4053001021129,2.14255859847003,25.0448598151703,4.06713662952325,8.8602026021955,0,0,1.99100870034283,0,0,5.94193773992185,0,0,6.21706301939034,10.5050479777858,15.5723648606703
"lemonintroduc",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"let",3.83157055821048,0,0,3.37564488271017,0,0,0,0,5.3161215613173,0,1.8017667007043,1.99100870034283,0,1.78891855822645,0,0,0,0,2.10100959555716,2.22462355152433
"like",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22462355152433
"liqueur",7.66314111642096,0,1.70724052721218,1.68782244135508,0,2.14255859847003,3.5778371164529,0,0,11.7344502813499,0,3.98201740068566,0,0,0,0,0,0,0,0
"liquor",3.83157055821048,0,3.41448105442437,0,0,0,0,2.03356831476162,1.7720405204391,0,1.8017667007043,0,0,3.5778371164529,3.96129182661456,1.92062790358103,1.91578527910524,0,0,0
"littl",3.83157055821048,0,1.70724052721218,0,1.8017667007043,0,0,0,0,3.35270008038569,0,1.99100870034283,0,0,1.98064591330728,1.92062790358103,0,0,0,0
"lot",1.91578527910524,1.98064591330728,0,0,9.0088335035215,0,0,4.06713662952325,1.7720405204391,0,0,1.99100870034283,1.82355405488921,1.78891855822645,0,0,3.83157055821048,2.07235433979678,6.30302878667147,0
"luxardo",1.91578527910524,0,0,0,0,0,0,0,0,0,10.8106002042258,0,0,0,0,0,0,0,0,0
"made",5.74735583731572,1.98064591330728,3.41448105442437,3.37564488271017,0,4.28511719694006,5.36675567467935,6.10070494428487,1.7720405204391,0,3.6035334014086,0,0,8.94459279113226,1.98064591330728,5.76188371074309,3.83157055821048,10.3617716989839,0,4.44924710304867
"make",5.74735583731572,1.98064591330728,6.82896210884874,5.06346732406525,5.4053001021129,0,5.36675567467935,6.10070494428487,1.7720405204391,5.02905012057854,3.6035334014086,5.97302610102849,1.82355405488921,3.5778371164529,5.94193773992185,11.5237674214862,0,6.21706301939034,6.30302878667147,0
"mani",3.83157055821048,1.98064591330728,1.70724052721218,3.37564488271017,1.8017667007043,2.14255859847003,1.78891855822645,0,1.7720405204391,3.35270008038569,7.2070668028172,3.98201740068566,3.64710810977842,1.78891855822645,0,1.92062790358103,5.74735583731572,0,0,2.22462355152433
"mapl",5.74735583731572,0,0,3.37564488271017,7.2070668028172,0,0,0,5.3161215613173,0,0,0,5.47066216466762,0,15.8451673064583,0,0,6.21706301939034,16.8080767644573,4.44924710304867
"margarita",3.83157055821048,0,0,0,0,2.14255859847003,0,0,1.7720405204391,1.67635004019285,0,39.8201740068566,1.82355405488921,1.78891855822645,1.98064591330728,3.84125580716206,0,0,0,2.22462355152433
"may",1.91578527910524,0,0,1.68782244135508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mean",1.91578527910524,1.98064591330728,3.41448105442437,1.68782244135508,1.8017667007043,0,0,0,0,3.35270008038569,3.6035334014086,5.97302610102849,1.82355405488921,0,0,1.92062790358103,5.74735583731572,2.07235433979678,2.10100959555716,0
"mix",9.57892639552621,5.94193773992185,15.3651647449097,1.68782244135508,0,2.14255859847003,1.78891855822645,4.06713662952325,0,1.67635004019285,12.6123669049301,1.99100870034283,3.64710810977842,3.5778371164529,1.98064591330728,1.92062790358103,9.57892639552621,0,21.0100959555716,2.22462355152433
"mojito",1.91578527910524,0,0,0,0,8.57023439388012,1.78891855822645,0,0,1.67635004019285,0,0,51.0595135368978,1.78891855822645,0,0,0,0,0,0
"move",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",1.91578527910524,0,3.41448105442437,3.37564488271017,0,0,1.78891855822645,0,0,1.67635004019285,3.6035334014086,1.99100870034283,0,0,3.96129182661456,1.92062790358103,3.83157055821048,8.28941735918712,0,0
"natur",1.91578527910524,0,0,0,1.8017667007043,2.14255859847003,0,2.03356831476162,1.7720405204391,0,0,0,3.64710810977842,0,3.96129182661456,1.92062790358103,0,2.07235433979678,4.20201919111431,0
"next",1.91578527910524,0,0,3.37564488271017,1.8017667007043,0,0,0,0,0,0,0,0,0,0,0,1.91578527910524,0,0,0
"night",3.83157055821048,0,3.41448105442437,3.37564488271017,1.8017667007043,0,1.78891855822645,4.06713662952325,0,0,3.6035334014086,1.99100870034283,1.82355405488921,3.5778371164529,3.96129182661456,0,0,0,0,0
"note",3.83157055821048,3.96129182661456,1.70724052721218,1.68782244135508,0,0,1.78891855822645,2.03356831476162,1.7720405204391,5.02905012057854,3.6035334014086,0,0,0,0,0,3.83157055821048,2.07235433979678,0,0
"nuanc",1.91578527910524,0,0,5.06346732406525,0,0,0,0,1.7720405204391,5.02905012057854,1.8017667007043,0,3.64710810977842,0,3.96129182661456,1.92062790358103,1.91578527910524,2.07235433979678,2.10100959555716,0
"oak",1.91578527910524,0,0,1.68782244135508,0,0,0,0,0,0,1.8017667007043,0,0,0,0,0,0,0,0,0
"option",1.91578527910524,1.98064591330728,1.70724052721218,6.75128976542033,0,0,5.36675567467935,0,0,0,3.6035334014086,0,1.82355405488921,0,0,0,0,0,0,0
"origin",1.91578527910524,1.98064591330728,0,1.68782244135508,0,0,0,0,0,5.02905012057854,0,0,3.64710810977842,0,0,1.92062790358103,1.91578527910524,2.07235433979678,2.10100959555716,0
"ounc",11.4947116746314,5.94193773992185,5.12172158163655,3.37564488271017,0,0,16.1002670240381,0,0,8.38175020096423,3.6035334014086,5.97302610102849,0,5.36675567467935,0,9.60313951790515,7.66314111642096,0,2.10100959555716,4.44924710304867
"over",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"overpow",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,1.78891855822645,0,0,0,0,0,0
"pack",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"part",1.91578527910524,0,0,0,0,0,0,4.06713662952325,0,1.67635004019285,3.6035334014086,0,5.47066216466762,1.78891855822645,3.96129182661456,0,0,0,0,0
"parti",1.91578527910524,0,1.70724052721218,1.68782244135508,7.2070668028172,0,8.94459279113226,2.03356831476162,0,5.02905012057854,1.8017667007043,0,5.47066216466762,3.5778371164529,1.98064591330728,0,0,4.14470867959356,2.10100959555716,0
"perfect",5.74735583731572,1.98064591330728,3.41448105442437,6.75128976542033,3.6035334014086,6.42767579541009,3.5778371164529,2.03356831476162,1.7720405204391,0,1.8017667007043,7.96403480137131,7.29421621955683,5.36675567467935,7.92258365322913,5.76188371074309,0,2.07235433979678,4.20201919111431,2.22462355152433
"pisco",3.83157055821048,0,0,0,0,4.28511719694006,0,0,1.7720405204391,0,0,0,0,0,3.96129182661456,0,0,0,0,0
"place",1.91578527910524,0,3.41448105442437,3.37564488271017,1.8017667007043,0,1.78891855822645,0,1.7720405204391,3.35270008038569,0,0,3.64710810977842,1.78891855822645,0,0,0,2.07235433979678,0,6.673870654573
"popular",5.74735583731572,3.96129182661456,1.70724052721218,1.68782244135508,0,2.14255859847003,3.5778371164529,6.10070494428487,1.7720405204391,1.67635004019285,5.4053001021129,1.99100870034283,1.82355405488921,0,1.98064591330728,1.92062790358103,5.74735583731572,2.07235433979678,0,0
"probabl",1.91578527910524,0,0,0,0,2.14255859847003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"protein",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,0,0,0,0,0,0,0
"provid",1.91578527910524,0,0,0,3.6035334014086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"quick",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,0,0,0,0,4.14470867959356,0,4.44924710304867
"read",1.91578527910524,0,0,0,3.6035334014086,0,0,2.03356831476162,0,0,0,0,1.82355405488921,1.78891855822645,0,0,0,0,0,0
"recip",7.66314111642096,0,5.12172158163655,16.8782244135508,12.6123669049301,17.1404687877602,1.78891855822645,0,8.8602026021955,5.02905012057854,7.2070668028172,9.95504350171414,16.4119864940029,3.5778371164529,0,0,3.83157055821048,4.14470867959356,29.4141343378002,8.89849420609734
"rememb",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rich",5.74735583731572,0,1.70724052721218,0,0,0,0,0,1.7720405204391,1.67635004019285,0,0,0,0,0,0,0,0,0,0
"right",3.83157055821048,1.98064591330728,1.70724052721218,1.68782244135508,0,0,1.78891855822645,0,1.7720405204391,0,1.8017667007043,1.99100870034283,9.11777027444604,1.78891855822645,1.98064591330728,1.92062790358103,1.91578527910524,0,0,0
"second",9.57892639552621,0,5.12172158163655,0,1.8017667007043,0,3.5778371164529,0,0,0,1.8017667007043,0,0,0,0,0,0,0,0,0
"secret",5.74735583731572,0,1.70724052721218,0,0,0,0,4.06713662952325,0,0,1.8017667007043,0,0,0,0,0,0,0,0,0
"separ",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"serv",1.91578527910524,5.94193773992185,18.779645799334,1.68782244135508,3.6035334014086,6.42767579541009,17.8891855822645,6.10070494428487,0,1.67635004019285,7.2070668028172,3.98201740068566,5.47066216466762,10.7335113493587,3.96129182661456,1.92062790358103,7.66314111642096,4.14470867959356,6.30302878667147,13.347741309146
"shake",15.3262822328419,0,1.70724052721218,1.68782244135508,1.8017667007043,4.28511719694006,10.7335113493587,0,14.1763241635128,6.70540016077138,3.6035334014086,5.97302610102849,1.82355405488921,0,3.96129182661456,1.92062790358103,0,8.28941735918712,4.20201919111431,11.1231177576217
"shaker",7.66314111642096,0,8.53620263606092,0,1.8017667007043,4.28511719694006,10.7335113493587,0,14.1763241635128,5.02905012057854,1.8017667007043,3.98201740068566,3.64710810977842,3.5778371164529,1.98064591330728,3.84125580716206,0,12.4341260387807,4.20201919111431,17.7969884121947
"shelf",1.91578527910524,0,0,0,1.8017667007043,0,0,0,0,0,0,0,0,1.78891855822645,0,0,0,0,0,0
