"","Amaretto Sour.txt","Aperol Spritz.txt","Boulevardier.txt","Classic Old Fashioned.txt","Cosmopolitan.txt","Daiquiri.txt","French75.txt","GinandTonic.txt","GinFizz.txt","Mai Tai.txt","Manhattan.txt","Margarita.txt","Mojito.txt","MoscowMule.txt","NewYorkSour.txt","Paloma.txt","Pinacolada.txt","TomCollins.txt","Whiskey sour.txt","Whisky Smash.txt"
"Amaretto Sour.txt",0,0.123541198075262,0.266807983825308,0.192369997453134,0.203141383195976,0.222787153011619,0.20688350993041,0.121562282323971,0.312968426050006,0.180241977252874,0.306638341496023,0.240194586781202,0.200799828790351,0.105185750359243,0.630587232661291,0.163873351658091,0.13540456255581,0.229483663978178,0.599624203258186,0.286286458579796
"Aperol Spritz.txt",0.123541198075262,0,0.293532426594095,0.201393599581206,0.15307874640613,0.120027947353402,0.205709449934445,0.163649620024957,0.167149373778864,0.136084256375264,0.235663040350268,0.197731363985134,0.179626962706777,0.107298965739872,0.131253999991663,0.190222691064891,0.128467705600561,0.192341286349709,0.118993072805584,0.171903200612632
"Boulevardier.txt",0.266807983825308,0.293532426594095,0,0.393677447355916,0.235906720641115,0.198215374608434,0.280691108014247,0.223327083710795,0.240652863530394,0.192071950612689,0.621783094720517,0.375649623512794,0.233090228302604,0.186123159513819,0.31777804892987,0.264555237072518,0.174399170034808,0.292824488251907,0.335782287065455,0.417496834144768
"Classic Old Fashioned.txt",0.192369997453134,0.201393599581206,0.393677447355916,0,0.205289457267223,0.138150961884859,0.184543510360758,0.173309358358602,0.17284053551492,0.15734756749812,0.355458944420463,0.30979498469611,0.269050878360225,0.118586691191858,0.22244846158477,0.213148580071014,0.127640326566805,0.283132493584554,0.300320020570993,0.359416762549331
"Cosmopolitan.txt",0.203141383195976,0.15307874640613,0.235906720641115,0.205289457267223,0,0.253399435092014,0.294334851512834,0.20970436050001,0.202399931646152,0.285785279049426,0.206054486182618,0.253047144443492,0.336865506320672,0.248568635695331,0.268077068586928,0.265989915842868,0.212089193485092,0.250220066995799,0.309437555873981,0.250511506354606
"Daiquiri.txt",0.222787153011619,0.120027947353402,0.198215374608434,0.138150961884859,0.253399435092014,0,0.208066749940817,0.145590754574525,0.20370453112891,0.365236495751478,0.178255001343566,0.258274762798153,0.337845973894668,0.135260898673966,0.281747838997019,0.19451423938943,0.293724463562296,0.1957048280709,0.251924980292581,0.216345016284036
"French75.txt",0.20688350993041,0.205709449934445,0.280691108014247,0.184543510360758,0.294334851512834,0.208066749940817,0,0.309614344538852,0.386834118744204,0.203628262969752,0.22273365554361,0.236777872984885,0.241768806776997,0.167629386306681,0.235686530468111,0.2145982925744,0.17366586449786,0.32188947698748,0.210205291487757,0.307997396333417
"GinandTonic.txt",0.121562282323971,0.163649620024957,0.223327083710795,0.173309358358602,0.20970436050001,0.145590754574525,0.309614344538852,0,0.469840854435741,0.169342128383706,0.186589582609837,0.196843659769253,0.185325104998547,0.158055080180464,0.164490240619155,0.216178670768005,0.139020279250296,0.258548995958209,0.129926672031936,0.218478888754225
"GinFizz.txt",0.312968426050006,0.167149373778864,0.240652863530394,0.17284053551492,0.202399931646152,0.20370453112891,0.386834118744204,0.469840854435741,0,0.160532698992382,0.183710039306719,0.246696929629575,0.234280255251845,0.1361847831046,0.297605051237944,0.217807319469107,0.133792053456081,0.436796334042986,0.230637059630837,0.26724753962393
"Mai Tai.txt",0.180241977252874,0.136084256375264,0.192071950612689,0.15734756749812,0.285785279049426,0.365236495751478,0.203628262969752,0.169342128383706,0.160532698992382,0,0.202638668325834,0.23136975415095,0.265264969050002,0.139774881647978,0.195536807604611,0.179239067371521,0.378119999829128,0.187888699320306,0.20492598395497,0.193210245335589
"Manhattan.txt",0.306638341496023,0.235663040350268,0.621783094720517,0.355458944420463,0.206054486182618,0.178255001343566,0.22273365554361,0.186589582609837,0.183710039306719,0.202638668325834,0,0.283303901722189,0.192942610293091,0.165186035665166,0.335717824078778,0.184496667748984,0.202423783286201,0.210854150039394,0.349721484694399,0.323241057057785
"Margarita.txt",0.240194586781202,0.197731363985134,0.375649623512794,0.30979498469611,0.253047144443492,0.258274762798153,0.236777872984885,0.196843659769253,0.246696929629575,0.23136975415095,0.283303901722189,0,0.281627309388444,0.189343943541223,0.247988150150794,0.513454408577365,0.182179809777009,0.312300586232395,0.222490501841595,0.309759870446908
"Mojito.txt",0.200799828790351,0.179626962706777,0.233090228302604,0.269050878360225,0.336865506320672,0.337845973894668,0.241768806776997,0.185325104998547,0.234280255251845,0.265264969050002,0.192942610293091,0.281627309388444,0,0.165653865140643,0.23557270827721,0.244674369096282,0.218932767886989,0.308443675069314,0.280636538273811,0.393936659309843
"MoscowMule.txt",0.105185750359243,0.107298965739872,0.186123159513819,0.118586691191858,0.248568635695331,0.135260898673966,0.167629386306681,0.158055080180464,0.1361847831046,0.139774881647978,0.165186035665166,0.189343943541223,0.165653865140643,0,0.131149542002677,0.151567832689985,0.131777259291503,0.161768398333243,0.107832237086871,0.168644413532254
"NewYorkSour.txt",0.630587232661291,0.131253999991663,0.31777804892987,0.22244846158477,0.268077068586928,0.281747838997019,0.235686530468111,0.164490240619155,0.297605051237944,0.195536807604611,0.335717824078778,0.247988150150794,0.23557270827721,0.131149542002677,0,0.190643765495417,0.135555873092034,0.266270087829472,0.70304291422273,0.370775182474703
"Paloma.txt",0.163873351658091,0.190222691064891,0.264555237072518,0.213148580071014,0.265989915842868,0.19451423938943,0.2145982925744,0.216178670768005,0.217807319469107,0.179239067371521,0.184496667748984,0.513454408577365,0.244674369096282,0.151567832689985,0.190643765495417,0,0.147510127933698,0.286655136015838,0.161363731900845,0.263623073950148
"Pinacolada.txt",0.13540456255581,0.128467705600561,0.174399170034808,0.127640326566805,0.212089193485092,0.293724463562296,0.17366586449786,0.139020279250296,0.133792053456081,0.378119999829128,0.202423783286201,0.182179809777009,0.218932767886989,0.131777259291503,0.135555873092034,0.147510127933698,0,0.136674281843036,0.150172051694615,0.130621070535699
"TomCollins.txt",0.229483663978178,0.192341286349709,0.292824488251907,0.283132493584554,0.250220066995799,0.1957048280709,0.32188947698748,0.258548995958209,0.436796334042986,0.187888699320306,0.210854150039394,0.312300586232395,0.308443675069314,0.161768398333243,0.266270087829472,0.286655136015838,0.136674281843036,0,0.249922127116797,0.343659089874316
"Whiskey sour.txt",0.599624203258186,0.118993072805584,0.335782287065455,0.300320020570993,0.309437555873981,0.251924980292581,0.210205291487757,0.129926672031936,0.230637059630837,0.20492598395497,0.349721484694399,0.222490501841595,0.280636538273811,0.107832237086871,0.70304291422273,0.161363731900845,0.150172051694615,0.249922127116797,0,0.487158826437824
